ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,1,2,SP,media,1732
2012,adulto,1,2,TO,alta,14
2012,adulto,1,2,TO,baixa,3
2012,adulto,1,2,TO,media,25
2012,adulto,2,1,AC,baixa,3
2012,adulto,2,1,AC,media,3
2012,adulto,2,1,AL,alta,1
2012,adulto,2,1,AL,baixa,14
2012,adulto,2,1,AL,media,13
2012,adulto,2,1,AM,alta,10
2012,adulto,2,1,AM,baixa,3
2012,adulto,2,1,AM,media,16
2012,adulto,2,1,AP,media,4
2012,adulto,2,1,BA,alta,43
2012,adulto,2,1,BA,baixa,105
2012,adulto,2,1,BA,media,274
2012,adulto,2,1,CE,alta,9
2012,adulto,2,1,CE,baixa,17
2012,adulto,2,1,CE,media,58
2012,adulto,2,1,DF,alta,11
2012,adulto,2,1,DF,baixa,4
2012,adulto,2,1,DF,media,42
2012,adulto,2,1,ES,alta,12
2012,adulto,2,1,ES,baixa,13
2012,adulto,2,1,ES,media,60
2012,adulto,2,1,GO,alta,25
2012,adulto,2,1,GO,baixa,27
2012,adulto,2,1,GO,media,101
2012,adulto,2,1,MA,alta,59
2012,adulto,2,1,MA,baixa,45
2012,adulto,2,1,MA,media,190
2012,adulto,2,1,MG,alta,108
2012,adulto,2,1,MG,baixa,81
2012,adulto,2,1,MG,media,440
2012,adulto,2,1,MS,alta,12
2012,adulto,2,1,MS,baixa,9
2012,adulto,2,1,MS,media,26
2012,adulto,2,1,MT,alta,26
2012,adulto,2,1,MT,baixa,16
2012,adulto,2,1,MT,media,86
2012,adulto,2,1,PA,alta,42
2012,adulto,2,1,PA,baixa,20
2012,adulto,2,1,PA,media,110
2012,adulto,2,1,PB,baixa,7
2012,adulto,2,1,PB,media,20
2012,adulto,2,1,PE,alta,22
2012,adulto,2,1,PE,baixa,44
2012,adulto,2,1,PE,media,106
2012,adulto,2,1,PI,alta,16
2012,adulto,2,1,PI,baixa,20
2012,adulto,2,1,PI,media,80
2012,adulto,2,1,PR,alta,48
2012,adulto,2,1,PR,baixa,8
2012,adulto,2,1,PR,media,112
2012,adulto,2,1,RJ,alta,179
2012,adulto,2,1,RJ,baixa,61
2012,adulto,2,1,RJ,media,610
2012,adulto,2,1,RN,alta,4
2012,adulto,2,1,RN,baixa,15
2012,adulto,2,1,RN,media,24
2012,adulto,2,1,RO,alta,8
2012,adulto,2,1,RO,baixa,2
2012,adulto,2,1,RO,media,19
2012,adulto,2,1,RR,alta,2
2012,adulto,2,1,RR,media,9
2012,adulto,2,1,RS,alta,45
2012,adulto,2,1,RS,baixa,23
2012,adulto,2,1,RS,media,192
2012,adulto,2,1,SC,alta,26
2012,adulto,2,1,SC,baixa,4
2012,adulto,2,1,SC,media,50
2012,adulto,2,1,SE,alta,8
2012,adulto,2,1,SE,baixa,18
2012,adulto,2,1,SE,media,57
2012,adulto,2,1,SP,alta,228
2012,adulto,2,1,SP,baixa,73
2012,adulto,2,1,SP,media,551
2012,adulto,2,1,TO,alta,2
2012,adulto,2,1,TO,baixa,15
2012,adulto,2,1,TO,media,32
2012,adulto,2,2,AC,baixa,2
2012,adulto,2,2,AL,alta,1
2012,adulto,2,2,AL,baixa,3
2012,adulto,2,2,AL,media,15
2012,adulto,2,2,AM,alta,2
2012,adulto,2,2,AM,baixa,4
2012,adulto,2,2,AM,media,8
2012,adulto,2,2,AP,baixa,1
2012,adulto,2,2,AP,media,4
2012,adulto,2,2,BA,alta,29
2012,adulto,2,2,BA,baixa,30
2012,adulto,2,2,BA,media,133
2012,adulto,2,2,CE,alta,3
2012,adulto,2,2,CE,baixa,7
2012,adulto,2,2,CE,media,32
2012,adulto,2,2,DF,alta,5
2012,adulto,2,2,DF,media,13
2012,adulto,2,2,ES,alta,9
2012,adulto,2,2,ES,baixa,4
2012,adulto,2,2,ES,media,31
2012,adulto,2,2,GO,alta,9
2012,adulto,2,2,GO,baixa,8
2012,adulto,2,2,GO,media,41
2012,adulto,2,2,MA,alta,24
2012,adulto,2,2,MA,baixa,10
2012,adulto,2,2,MA,media,36
2012,adulto,2,2,MG,alta,53
2012,adulto,2,2,MG,baixa,34
2012,adulto,2,2,MG,media,186
2012,adulto,2,2,MS,alta,7
