ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,2,1,RO,alta,8
2012,adulto,2,1,RR,media,9
2012,adulto,2,1,RR,alta,2
2012,adulto,2,1,RS,baixa,22
2012,adulto,2,1,RS,media,179
2012,adulto,2,1,RS,alta,42
2012,adulto,2,1,SC,baixa,4
2012,adulto,2,1,SC,media,46
2012,adulto,2,1,SC,alta,26
2012,adulto,2,1,SE,baixa,18
2012,adulto,2,1,SE,media,52
2012,adulto,2,1,SE,alta,8
2012,adulto,2,1,SP,baixa,64
2012,adulto,2,1,SP,media,514
2012,adulto,2,1,SP,alta,213
2012,adulto,2,1,TO,baixa,14
2012,adulto,2,1,TO,media,30
2012,adulto,2,1,TO,alta,2
2012,adulto,2,2,AC,baixa,2
2012,adulto,2,2,AL,baixa,3
2012,adulto,2,2,AL,media,15
2012,adulto,2,2,AL,alta,1
2012,adulto,2,2,AM,baixa,4
2012,adulto,2,2,AM,media,8
2012,adulto,2,2,AM,alta,2
2012,adulto,2,2,AP,baixa,1
2012,adulto,2,2,AP,media,4
2012,adulto,2,2,BA,baixa,27
2012,adulto,2,2,BA,media,125
2012,adulto,2,2,BA,alta,28
2012,adulto,2,2,CE,baixa,7
2012,adulto,2,2,CE,media,30
2012,adulto,2,2,CE,alta,3
2012,adulto,2,2,DF,media,13
2012,adulto,2,2,DF,alta,5
2012,adulto,2,2,ES,baixa,4
2012,adulto,2,2,ES,media,30
2012,adulto,2,2,ES,alta,9
2012,adulto,2,2,GO,baixa,8
2012,adulto,2,2,GO,media,39
2012,adulto,2,2,GO,alta,9
2012,adulto,2,2,MA,baixa,9
2012,adulto,2,2,MA,media,34
2012,adulto,2,2,MA,alta,22
2012,adulto,2,2,MG,baixa,27
2012,adulto,2,2,MG,media,175
2012,adulto,2,2,MG,alta,44
2012,adulto,2,2,MS,baixa,3
2012,adulto,2,2,MS,media,12
2012,adulto,2,2,MS,alta,7
2012,adulto,2,2,MT,baixa,4
2012,adulto,2,2,MT,media,22
2012,adulto,2,2,MT,alta,9
2012,adulto,2,2,PA,baixa,6
2012,adulto,2,2,PA,media,49
2012,adulto,2,2,PA,alta,20
2012,adulto,2,2,PB,media,6
2012,adulto,2,2,PB,alta,3
2012,adulto,2,2,PE,baixa,11
2012,adulto,2,2,PE,media,44
2012,adulto,2,2,PE,alta,13
2012,adulto,2,2,PI,baixa,6
2012,adulto,2,2,PI,media,14
2012,adulto,2,2,PI,alta,3
2012,adulto,2,2,PR,baixa,9
2012,adulto,2,2,PR,media,48
2012,adulto,2,2,PR,alta,19
2012,adulto,2,2,RJ,baixa,39
2012,adulto,2,2,RJ,media,358
2012,adulto,2,2,RJ,alta,117
2012,adulto,2,2,RN,baixa,4
2012,adulto,2,2,RN,media,14
2012,adulto,2,2,RN,alta,3
2012,adulto,2,2,RO,media,2
2012,adulto,2,2,RO,alta,4
2012,adulto,2,2,RR,media,5
2012,adulto,2,2,RR,alta,1
2012,adulto,2,2,RS,baixa,17
2012,adulto,2,2,RS,media,89
2012,adulto,2,2,RS,alta,24
2012,adulto,2,2,SC,baixa,1
2012,adulto,2,2,SC,media,26
2012,adulto,2,2,SC,alta,8
2012,adulto,2,2,SE,baixa,6
2012,adulto,2,2,SE,media,18
2012,adulto,2,2,SE,alta,6
2012,adulto,2,2,SP,baixa,30
2012,adulto,2,2,SP,media,221
2012,adulto,2,2,SP,alta,91
2012,adulto,2,2,TO,baixa,6
2012,adulto,2,2,TO,media,13
2012,adulto,2,2,TO,alta,5
2012,adulto,3,1,AC,alta,1
2012,adulto,3,1,AL,baixa,2
2012,adulto,3,1,AM,media,1
2012,adulto,3,1,BA,baixa,1
2012,adulto,3,1,CE,media,1
2012,adulto,3,1,DF,media,1
2012,adulto,3,1,DF,alta,1
2012,adulto,3,1,GO,media,2
2012,adulto,3,1,MA,media,3
2012,adulto,3,1,MA,alta,1
2012,adulto,3,1,MG,baixa,1
2012,adulto,3,1,MG,media,5
2012,adulto,3,1,MG,alta,1
2012,adulto,3,1,MS,baixa,1
2012,adulto,3,1,MS,media,4
2012,adulto,3,1,MT,baixa,1
2012,adulto,3,1,MT,media,1
2012,adulto,3,1,MT,alta,1
2012,adulto,3,1,PA,media,2
2012,adulto,3,1,PA,alta,2
2012,adulto,3,1,PB,media,4
2012,adulto,3,1,PE,media,3
2012,adulto,3,1,PI,media,5
2012,adulto,3,1,PR,media,4
2012,adulto,3,1,PR,alta,4
2012,adulto,3,1,RJ,media,1
2012,adulto,3,1,RJ,alta,1
2012,adulto,3,1,RN,baixa,2
2012,adulto,3,1,RN,media,1
2012,adulto,3,1,RO,baixa,1
2012,adulto,3,1,RR,media,1
2012,adulto,3,1,SP,baixa,6
2012,adulto,3,1,SP,media,26
2012,adulto,3,1,SP,alta,17
2012,adulto,3,2,AC,media,1
2012,adulto,3,2,AM,baixa,1
2012,adulto,3,2,BA,baixa,1
2012,adulto,3,2,BA,media,1
2012,adulto,3,2,CE,media,1
2012,adulto,3,2,GO,media,1
2012,adulto,3,2,MA,media,3
2012,adulto,3,2,MG,baixa,2
2012,adulto,3,2,MG,media,1
2012,adulto,3,2,MS,media,1
2012,adulto,3,2,MS,alta,1
2012,adulto,3,2,MT,media,2
2012,adulto,3,2,MT,alta,1
2012,adulto,3,2,PA,media,3
2012,adulto,3,2,PA,alta,1
2012,adulto,3,2,PB,media,2
2012,adulto,3,2,PE,media,1
2012,adulto,3,2,PE,alta,2
2012,adulto,3,2,PI,media,2
