ano,idade_grupo,raca_cor,sexo,sigla_uf,baixa,media,contrast,level_a,level_b,pair_stratum_n,has_pair_common_support,min_pair_cell_n,alta
2021,jovem,1,1,MS,5.0,34.0,media_vs_baixa,baixa,media,39,False,5,
2021,jovem,1,1,MT,4.0,58.0,media_vs_baixa,baixa,media,62,False,4,
2021,jovem,1,1,PA,7.0,61.0,media_vs_baixa,baixa,media,68,False,7,
2021,jovem,1,1,PB,1.0,20.0,media_vs_baixa,baixa,media,21,False,1,
2021,jovem,1,1,PE,17.0,249.0,media_vs_baixa,baixa,media,266,False,17,
2021,jovem,1,1,PI,6.0,37.0,media_vs_baixa,baixa,media,43,False,6,
2021,jovem,1,1,PR,53.0,355.0,media_vs_baixa,baixa,media,408,True,53,
2021,jovem,1,1,RJ,23.0,248.0,media_vs_baixa,baixa,media,271,True,23,
2021,jovem,1,1,RN,7.0,19.0,media_vs_baixa,baixa,media,26,False,7,
2021,jovem,1,1,RO,5.0,16.0,media_vs_baixa,baixa,media,21,False,5,
2021,jovem,1,1,RR,0.0,7.0,media_vs_baixa,baixa,media,7,False,0,
2021,jovem,1,1,RS,22.0,210.0,media_vs_baixa,baixa,media,232,True,22,
2021,jovem,1,1,SC,13.0,178.0,media_vs_baixa,baixa,media,191,False,13,
2021,jovem,1,1,SE,6.0,16.0,media_vs_baixa,baixa,media,22,False,6,
2021,jovem,1,1,SP,99.0,502.0,media_vs_baixa,baixa,media,601,True,99,
2021,jovem,1,1,TO,2.0,15.0,media_vs_baixa,baixa,media,17,False,2,
2021,jovem,1,2,AC,1.0,5.0,media_vs_baixa,baixa,media,6,False,1,
2021,jovem,1,2,AL,0.0,2.0,media_vs_baixa,baixa,media,2,False,0,
2021,jovem,1,2,AM,4.0,11.0,media_vs_baixa,baixa,media,15,False,4,
2021,jovem,1,2,AP,0.0,6.0,media_vs_baixa,baixa,media,6,False,0,
2021,jovem,1,2,BA,14.0,39.0,media_vs_baixa,baixa,media,53,False,14,
2021,jovem,1,2,CE,8.0,32.0,media_vs_baixa,baixa,media,40,False,8,
2021,jovem,1,2,DF,2.0,16.0,media_vs_baixa,baixa,media,18,False,2,
2021,jovem,1,2,ES,6.0,11.0,media_vs_baixa,baixa,media,17,False,6,
2021,jovem,1,2,GO,8.0,41.0,media_vs_baixa,baixa,media,49,False,8,
2021,jovem,1,2,MA,3.0,18.0,media_vs_baixa,baixa,media,21,False,3,
2021,jovem,1,2,MG,24.0,98.0,media_vs_baixa,baixa,media,122,True,24,
2021,jovem,1,2,MS,2.0,20.0,media_vs_baixa,baixa,media,22,False,2,
2021,jovem,1,2,MT,6.0,21.0,media_vs_baixa,baixa,media,27,False,6,
2021,jovem,1,2,PA,8.0,35.0,media_vs_baixa,baixa,media,43,False,8,
2021,jovem,1,2,PB,0.0,15.0,media_vs_baixa,baixa,media,15,False,0,
2021,jovem,1,2,PE,17.0,52.0,media_vs_baixa,baixa,media,69,False,17,
2021,jovem,1,2,PI,5.0,13.0,media_vs_baixa,baixa,media,18,False,5,
2021,jovem,1,2,PR,38.0,130.0,media_vs_baixa,baixa,media,168,True,38,
2021,jovem,1,2,RJ,11.0,146.0,media_vs_baixa,baixa,media,157,False,11,
2021,jovem,1,2,RN,0.0,15.0,media_vs_baixa,baixa,media,15,False,0,
